algorithm	benchmark	execution-count	generators	lower-q	manufacturerModel	median	millisec	nelements	now	nthreads	sample-count	tail-quantile	threads	total-time	upper-q	value	warmup-executions
inline	l2norm	541	doubles-uniform_double	1.8489661737523106	LENOVO.20ERCTO1WW	1.8579158243992606	1.8597253734331678	1048576	20170916-2010	6	256	0.05	6	257.554487334	1.870266168207024	2.0980555367672474E10	5276
invokestatic	l2norm	539	doubles-uniform_double	1.8540542894248613	LENOVO.20ERCTO1WW	1.8634708311688313	1.8647933036728899	1048576	20170916-2015	6	256	0.05	6	257.304664126	1.8732045166975884	2.0980555367672474E10	5422
primitive	l2norm	539	doubles-uniform_double	1.8579357880333955	LENOVO.20ERCTO1WW	1.867786689239332	1.8668867605664425	1048576	20170916-2020	6	256	0.05	6	257.597924906	1.8750720278293138	1.2593677947093477E14	5441
boxprimitive	l2norm	539	doubles-uniform_double	1.8581360538033398	LENOVO.20ERCTO1WW	1.8724841363636364	1.8677777702632192	1048576	20170916-2025	6	256	0.05	6	257.721245596	1.876368341372913	1.2593677947093477E14	5391
cljmeta	l2norm	19	doubles-uniform_double	53.44790678947369	LENOVO.20ERCTO1WW	53.82182115789474	53.970642116159546	1048576	20170916-2030	6	256	0.05	6	262.515686314	54.49259364473684	1.2593677947093477E14	205
funxmeta	l2norm	42	doubles-uniform_double	1.8539079285714286	LENOVO.20ERCTO1WW	1.8581885119047619	2.713199665922619	1048576	20170916-2031	6	256	0.05	6	29.142088152	1.9959393095238098	1.2593677947093477E14	411
boxed	l2norm	33	doubles-uniform_double	23.924270696969703	LENOVO.20ERCTO1WW	24.407158303030304	24.674353206202657	1048576	20170916-2035	6	256	0.05	6	208.397336125	27.746705000000002	1.2593677947093477E14	391
